AtomicNumber,Symbol,Name,AtomicMass,CPKHexColor,ElectronConfiguration,Electronegativity,AtomicRadius,IonizationEnergy,ElectronAffinity,OxidationStates,StandardState,MeltingPoint,BoilingPoint,Density,GroupBlock,YearDiscovered,Mendeleev,BulkModulus,MolarVolume,VanDerWaalsRadius,AverageCationicRadius,AverageIonicRadius,AverageAnionicRadius,VelocitySound,PoissonsRatio,ThermalConductivity,ElectricalResistivity,RigidityModulus
28,Ni,Nickel,58.693,50D050,[Ar]4s2 3d8,1.91,163.0,7.64,1.156,"+3, +2",Solid,1728.0,3186.0,8.912,Transition metal,1751,67.0,180.0 GPa,6.59,1.97,0.74,0.74,0.0,4970.0,0.31,91.0,7.2e-08,76.0
29,Cu,Copper,63.55,C88033,[Ar]4s1 3d10,1.9,140.0,7.726,1.228,"+2, +1",Solid,1357.77,2835.0,8.933,Transition metal,Ancient,72.0,140.0 GPa,7.11,1.96,0.82,0.82,0.0,3570.0,0.34,400.0,1.72e-08,48.0
30,Zn,Zinc,65.4,7D80B0,[Ar]4s2 3d10,1.65,139.0,9.394,,+2,Solid,692.68,1180.0,7.134,Transition metal,1746,76.0,70.0 GPa,9.16,2.01,0.88,0.88,0.0,3700.0,0.25,120.0,6e-08,43.0
31,Ga,Gallium,69.723,C28F8F,[Ar]4s2 3d10 4p1,1.81,187.0,5.999,0.3,+3,Solid,302.91,2477.0,5.91,Post-transition metal,1875,81.0,None,11.8,1.87,0.76,0.76,0.0,2740.0,,29.0,1.4e-07,
32,Ge,Germanium,72.63,668F8F,[Ar]4s2 3d10 4p2,2.01,211.0,7.9,1.35,"+4, +2",Solid,1211.4,3106.0,5.323,Metalloid,1886,84.0,None,13.63,2.11,0.77,0.77,0.0,5400.0,,60.0,0.0005,
33,As,Arsenic,74.92159,BD80E3,[Ar]4s2 3d10 4p3,2.18,185.0,9.815,0.81,"+5, +3, -3",Solid,1090.0,887.0,5.776,Metalloid,Ancient,89.0,22.0 GPa,12.95,1.85,0.6599999999999999,0.6599999999999999,0.0,,,50.0,3.3e-07,
34,Se,Selenium,78.97,FFA100,[Ar]4s2 3d10 4p4,2.55,190.0,9.752,2.021,"+6, +4, -2",Solid,493.65,958.0,4.809,Nonmetal,1817,93.0,8.3 GPa,16.42,1.9,0.6000000000000001,1.0133333333333334,1.84,3350.0,0.33,0.52,1e-08,3.7
35,Br,Bromine,79.9,A62929,[Ar]4s2 3d10 4p5,2.96,183.0,11.814,3.365,"+5, +1, -1",Liquid,265.95,331.95,3.11,Halogen,1826,98.0,1.9 GPa,19.78,1.85,0.57,0.8825000000000001,1.82,,,0.12,1e+18,
36,Kr,Krypton,83.8,5CB8D1,[Ar]4s2 3d10 4p6,3.0,202.0,14.0,,0,Gas,115.79,119.93,0.003733,Noble gas,1898,4.0,None,27.99,2.02,0.0,0.0,0.0,1120.0,,0.00943,,
37,Rb,Rubidium,85.468,702EB0,[Kr]5s1,0.82,303.0,4.177,0.468,+1,Solid,312.46,961.0,1.53,Alkali metal,1861,9.0,2.5 GPa,55.76,3.03,1.66,1.66,0.0,1300.0,,58.0,1.33e-07,
38,Sr,Strontium,87.62,00FF00,[Kr]5s2,0.95,249.0,5.695,,+2,Solid,1050.0,1655.0,2.64,Alkaline earth metal,1790,15.0,None,33.94,2.49,1.32,1.32,0.0,,0.28,35.0,1.35e-07,6.1
39,Y,Yttrium,88.90584,94FFFF,[Kr]5s2 4d1,1.22,219.0,6.217,0.307,+3,Solid,1795.0,3618.0,4.47,Transition metal,1794,25.0,41.0 GPa,19.88,2.32,1.04,1.04,0.0,3300.0,0.24,17.0,6e-07,26.0
40,Zr,Zirconium,91.22,94E0E0,[Kr]5s2 4d2,1.33,186.0,6.634,0.426,+4,Solid,2128.0,4682.0,6.52,Transition metal,1789,49.0,None,14.02,2.23,0.86,0.86,0.0,3800.0,0.34,23.0,4.33e-07,33.0
41,Nb,Niobium,92.90637,73C2C9,[Kr]5s1 4d4,1.6,207.0,6.759,0.893,"+5, +3",Solid,2750.0,5017.0,8.57,Transition metal,1801,53.0,170.0 GPa,10.83,2.18,0.82,0.82,0.0,3480.0,0.4,54.0,1.52e-07,38.0
42,Mo,Molybdenum,95.95,54B5B5,[Kr]5s1 4d5,2.16,209.0,7.092,0.746,+6,Solid,2896.0,4912.0,10.2,Transition metal,1778,56.0,230.0 GPa,9.38,2.17,0.775,0.775,0.0,6190.0,0.31,139.0,5.5e-08,20.0
43,Tc,Technetium,96.90636,3B9E9E,[Kr]5s2 4d5,1.9,209.0,7.28,0.55,"+7, +6, +4",Solid,2430.0,4538.0,11.0,Transition metal,1937,59.0,None,8.63,2.16,0.7416666666666666,0.7416666666666666,0.0,,,51.0,2.2e-07,
44,Ru,Ruthenium,101.1,248F8F,[Kr]5s1 4d7,2.2,207.0,7.361,1.05,+3,Solid,2607.0,4423.0,12.1,Transition metal,1827,62.0,220.0 GPa,8.17,2.13,0.661,0.661,0.0,5970.0,0.3,120.0,7.1e-08,173.0
45,Rh,Rhodium,102.9055,0A7D8C,[Kr]5s1 4d8,2.28,195.0,7.459,1.137,+3,Solid,2237.0,3968.0,12.4,Transition metal,1803,65.0,380.0 GPa,8.28,2.1,0.745,0.745,0.0,4700.0,0.26,150.0,4.3e-08,150.0
46,Pd,Palladium,106.42,6985,[Kr]4d10,2.2,202.0,8.337,0.557,"+3, +2",Solid,1828.05,3236.0,12.0,Transition metal,1803,69.0,180.0 GPa,8.56,2.1,0.84625,0.84625,0.0,3070.0,0.39,72.0,1.08e-07,44.0
47,Ag,Silver,107.868,C0C0C0,[Kr]5s1 4d10,1.93,172.0,7.576,1.302,+1,Solid,1234.93,2435.0,10.501,Transition metal,Ancient,71.0,100.0 GPa,10.27,2.11,1.086666666666667,1.086666666666667,0.0,2600.0,0.37,430.0,1.63e-08,30.0
48,Cd,Cadmium,112.41,FFD98F,[Kr]5s2 4d10,1.69,158.0,8.994,,+2,Solid,594.22,1040.0,8.69,Transition metal,1817,75.0,42.0 GPa,13.0,2.18,1.09,1.09,0.0,2310.0,0.3,97.0,7e-08,19.0
49,In,Indium,114.818,A67573,[Kr]5s2 4d10 5p1,1.78,193.0,5.786,0.3,+3,Solid,429.75,2345.0,7.31,Post-transition metal,1863,79.0,None,15.76,1.93,0.94,0.94,0.0,1215.0,,82.0,8e-08,
50,Sn,Tin,118.71,668080,[Kr]5s2 4d10 5p2,1.96,217.0,7.344,1.2,"+4, +2",Solid,505.08,2875.0,7.287,Post-transition metal,Ancient,83.0,58.0 GPa,16.29,2.17,0.83,0.83,0.0,2500.0,0.36,67.0,1.15e-07,18.0
51,Sb,Antimony,121.76,9E63B5,[Kr]5s2 4d10 5p3,2.05,206.0,8.64,1.07,"+5, +3, -3",Solid,903.78,1860.0,6.685,Metalloid,Ancient,88.0,42.0 GPa,18.19,2.06,0.8300000000000001,0.8300000000000001,0.0,3420.0,,24.0,4e-07,20.0
52,Te,Tellurium,127.6,D47A00,[Kr]5s2 4d10 5p4,2.1,206.0,9.01,1.971,"+6, +4, -2",Solid,722.66,1261.0,6.232,Metalloid,1782,92.0,65.0 GPa,20.46,2.06,0.905,1.2933333333333332,2.07,2610.0,,3.0,0.0001,16.0
53,I,Iodine,126.9045,940094,[Kr]5s2 4d10 5p5,2.66,198.0,10.451,3.059,"+7, +5, +1, -1",Solid,386.85,457.55,4.93,Halogen,1811,97.0,7.7 GPa,25.72,1.98,0.8800000000000001,1.2733333333333334,2.06,,,0.449,1000000000000000.0,
54,Xe,Xenon,131.29,429EB0,[Kr]5s2 4d10 5p6,2.6,216.0,12.13,,0,Gas,161.36,165.03,0.005887,Noble gas,1898,5.0,None,35.92,2.16,0.62,0.62,0.0,1090.0,,0.00565,,
55,Cs,Cesium,132.905452,57178F,[Xe]6s1,0.79,343.0,3.894,0.472,+1,Solid,301.59,944.0,1.93,Alkali metal,1860,8.0,1.6 GPa,70.94,3.43,1.81,1.81,0.0,,,36.0,2.1e-07,
56,Ba,Barium,137.33,00C900,[Xe]6s2,0.89,268.0,5.212,,+2,Solid,1000.0,2170.0,3.62,Alkaline earth metal,1808,14.0,9.6 GPa,38.16,2.68,1.49,1.49,0.0,1620.0,,18.0,3.4e-07,4.9
57,La,Lanthanum,138.9055,70D4FF,[Xe]6s2 5d1,1.1,240.0,5.577,0.5,+3,Solid,1191.0,3737.0,6.15,Lanthanide,1839,33.0,28.0 GPa,22.39,2.43,1.172,1.172,0.0,2475.0,0.28,13.0,6.15e-07,14.0
58,Ce,Cerium,140.116,FFFFC7,[Xe]6s2 4f1 5d1,1.12,235.0,5.539,0.5,"+4, +3",Solid,1071.0,3697.0,6.77,Lanthanide,1803,32.0,22.0 GPa,20.69,2.42,1.08,1.08,0.0,2100.0,0.24,11.0,7.4e-07,14.0
59,Pr,Praseodymium,140.90766,D9FFC7,[Xe]6s2 4f3,1.13,239.0,5.464,,+3,Solid,1204.0,3793.0,6.77,Lanthanide,1885,31.0,29.0 GPa,20.8,2.4,1.06,1.06,0.0,2280.0,0.28,13.0,7e-07,15.0
60,Nd,Neodymium,144.24,C7FFC7,[Xe]6s2 4f4,1.14,229.0,5.525,,+3,Solid,1294.0,3347.0,7.01,Lanthanide,1885,30.0,32.0 GPa,20.59,2.39,1.2765,1.2765,0.0,2330.0,0.28,17.0,6.43e-07,16.0
61,Pm,Promethium,144.91276,A3FFC7,[Xe]6s2 4f5,,236.0,5.55,,+3,Solid,1315.0,3273.0,7.26,Lanthanide,1945,29.0,33.0 GPa,20.23,2.38,1.11,1.11,0.0,,0.28,15.0,7.5e-07,18.0
62,Sm,Samarium,150.4,8FFFC7,[Xe]6s2 4f6,1.17,229.0,5.644,,"+3, +2",Solid,1347.0,2067.0,7.52,Lanthanide,1879,28.0,38.0 GPa,19.98,2.36,1.229,1.229,0.0,2130.0,0.27,13.0,9.4e-07,20.0
63,Eu,Europium,151.964,61FFC7,[Xe]6s2 4f7,,233.0,5.67,,"+3, +2",Solid,1095.0,1802.0,5.24,Lanthanide,1901,18.0,8.3 GPa,28.97,2.35,1.1985,1.1985,0.0,,0.15,14.0,9e-07,7.9
64,Gd,Gadolinium,157.2,45FFC7,[Xe]6s2 4f7 5d1,1.2,237.0,6.15,,+3,Solid,1586.0,3546.0,7.9,Lanthanide,1880,27.0,38.0 GPa,19.9,2.34,1.075,1.075,0.0,2680.0,0.26,11.0,1.31e-06,22.0
65,Tb,Terbium,158.92535,30FFC7,[Xe]6s2 4f9,,221.0,5.864,,+3,Solid,1629.0,3503.0,8.23,Lanthanide,1843,26.0,38.7 GPa,19.3,2.33,0.9815,0.9815,0.0,2620.0,0.26,11.0,1.15e-06,22.0
66,Dy,Dysprosium,162.5,1FFFC7,[Xe]6s2 4f10,1.22,229.0,5.939,,+3,Solid,1685.0,2840.0,8.55,Lanthanide,1886,24.0,41.0 GPa,19.01,2.31,1.131,1.131,0.0,2710.0,0.25,11.0,9.26e-07,25.0
